"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","26*","30","21","3","1","123.80","5","not out","2","v Zimbabwe","Harare","12 Jun 2010"
"2","DNB","-","-","-","-","-","-","-","2","v Zimbabwe","Harare","13 Jun 2010"
"3","28","28","19","5","0","147.36","1","bowled","1","v South Africa","Durban","9 Jan 2011"
"4","14","15","12","2","0","116.66","3","caught","1","v West Indies","Port of Spain","4 Jun 2011"
"5","4","5","5","0","0","80.00","4","caught","1","v England","Manchester","31 Aug 2011"
"6","15","21","16","3","0","93.75","3","caught","1","v England","Kolkata","29 Oct 2011"
"7","22","30","21","0","1","104.76","3","caught","2","v Australia","Sydney","1 Feb 2012"
"8","31","29","24","3","0","129.16","3","caught","2","v Australia","Melbourne","3 Feb 2012"
"9","DNB","-","-","-","-","-","-","-","2","v South Africa","Johannesburg","30 Mar 2012"
"10","68","65","48","11","1","141.66","3","caught","1","v Sri Lanka","Pallekele","7 Aug 2012"
"11","70","67","41","10","1","170.73","2","caught","2","v New Zealand","Chennai","11 Sep 2012"
"12","50","60","39","4","2","128.20","3","caught","1","v Afghanistan","Colombo (RPS)","19 Sep 2012"
"13","40","33","32","6","0","125.00","3","caught","1","v England","Colombo (RPS)","23 Sep 2012"
"14","15","18","13","2","0","115.38","3","caught","1","v Australia","Colombo (RPS)","28 Sep 2012"
"15","78*","61","61","8","2","127.86","3","not out","2","v Pakistan","Colombo (RPS)","30 Sep 2012"
"16","2","5","6","0","0","33.33","3","caught","1","v South Africa","Colombo (RPS)","2 Oct 2012"
"17","21","35","17","2","0","123.52","3","bowled","2","v England","Pune","20 Dec 2012"
"18","38","25","20","7","0","190.00","3","lbw","1","v England","Mumbai","22 Dec 2012"
"19","9","15","11","1","0","81.81","3","caught","1","v Pakistan","Bengaluru","25 Dec 2012"
"20","27","31","22","3","0","122.72","3","run out","1","v Pakistan","Ahmedabad","28 Dec 2012"
