"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"67","5","9","6","1","0","83.33","1","caught","2","v New Zealand","Rajkot","4 Nov 2017"
"68","8","11","9","1","0","88.88","1","caught","1","v New Zealand","Thiruvananthapuram","7 Nov 2017"
"69","17","21","13","2","0","130.76","1","caught","1","v Sri Lanka","Cuttack","20 Dec 2017"
"70","118","61","43","12","10","274.41","1","caught","1","v Sri Lanka","Indore","22 Dec 2017"
"71","27","31","20","4","1","135.00","1","caught","2","v Sri Lanka","Mumbai","24 Dec 2017"
"72","21","8","9","2","2","233.33","1","caught","1","v South Africa","Johannesburg","18 Feb 2018"
"73","0","5","1","0","0","0.00","2","lbw","1","v South Africa","Centurion","21 Feb 2018"
"74","11","9","8","2","0","137.50","1","lbw","1","v South Africa","Cape Town","24 Feb 2018"
"75","0","-","4","0","0","0.00","1","caught","1","v Sri Lanka","Colombo (RPS)","6 Mar 2018"
"76","17","-","13","3","0","130.76","1","bowled","2","v Bangladesh","Colombo (RPS)","8 Mar 2018"
"77","11","-","7","1","1","157.14","1","caught","2","v Sri Lanka","Colombo (RPS)","12 Mar 2018"
"78","89","-","61","5","5","145.90","1","run out","1","v Bangladesh","Colombo (RPS)","14 Mar 2018"
"79","56","-","42","4","3","133.33","2","caught","2","v Bangladesh","Colombo (RPS)","18 Mar 2018"
"80","97","87","61","8","5","159.01","1","bowled","1","v Ireland","Dublin (Malahide)","27 Jun 2018"
"81","0","-","2","0","0","0.00","4","caught","1","v Ireland","Dublin (Malahide)","29 Jun 2018"
"82","32","-","30","3","1","106.66","2","caught","2","v England","Manchester","3 Jul 2018"
"83","5","-","9","1","0","55.55","1","caught","1","v England","Cardiff","6 Jul 2018"
"84","100*","-","56","11","5","178.57","1","not out","2","v England","Bristol","8 Jul 2018"
"85","6","-","6","1","0","100.00","1","caught","2","v West Indies","Kolkata","4 Nov 2018"
"86","111*","95","61","8","7","181.96","1","not out","1","v West Indies","Lucknow","6 Nov 2018"
