"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"63","7*","8","14","1","0","50.00","5","not out","2","v West Indies","Port of Spain","8 Jun 2011"
"64","86*","137","91","5","2","94.50","5","not out","2","v West Indies","North Sound","11 Jun 2011"
"65","39","60","47","0","1","82.97","5","caught","2","v West Indies","North Sound","13 Jun 2011"
"66","57","105","72","2","1","79.16","5","bowled","1","v West Indies","Kingston","16 Jun 2011"
"67","0*","1","1","0","0","0.00","5","retired notout","1","v England","Chester-le-Street","3 Sep 2011"
"68","72","185","99","3","1","72.72","5","bowled","2","v West Indies","Cuttack","29 Nov 2011"
"69","90*","131","98","7","2","91.83","5","not out","2","v West Indies","Visakhapatnam","2 Dec 2011"
"70","95","151","100","10","1","95.00","5","run out","2","v West Indies","Ahmedabad","5 Dec 2011"
"71","27","21","16","3","0","168.75","5","bowled","1","v West Indies","Indore","8 Dec 2011"
"72","21","31","26","1","0","80.76","6","bowled","1","v West Indies","Chennai","11 Dec 2011"
"73","21","34","21","2","0","100.00","4","caught","2","v Australia","Melbourne","5 Feb 2012"
"74","10","29","17","1","0","58.82","4","caught","2","v Sri Lanka","Perth","8 Feb 2012"
"75","33","49","41","1","1","80.48","4","caught","2","v Australia","Adelaide","12 Feb 2012"
"76","15","30","27","2","0","55.55","4","run out","2","v Sri Lanka","Adelaide","14 Feb 2012"
"77","0","6","5","0","0","0.00","4","caught","2","v Australia","Brisbane","19 Feb 2012"
"78","DNB","-","-","-","-","-","-","-","1","v Sri Lanka","Dhaka","13 Mar 2012"
"79","4","9","6","0","0","66.66","6","run out","1","v Bangladesh","Dhaka","16 Mar 2012"
"80","68","109","83","5","1","81.92","4","caught","2","v Pakistan","Dhaka","18 Mar 2012"
"81","5","10","8","0","0","62.50","4","bowled","1","v Sri Lanka","Hambantota","21 Jul 2012"
"82","0","5","5","0","0","0.00","4","bowled","1","v Sri Lanka","Hambantota","24 Jul 2012"
"83","0","1","1","0","0","0.00","5","lbw","2","v Sri Lanka","Colombo (RPS)","28 Jul 2012"
"84","4","18","14","0","0","28.57","4","lbw","2","v Sri Lanka","Colombo (RPS)","31 Jul 2012"
"85","4","12","9","1","0","44.44","4","bowled","1","v Sri Lanka","Pallekele","4 Aug 2012"
"86","4","19","14","0","0","28.57","5","caught","1","v Pakistan","Chennai","30 Dec 2012"
"87","83","135","93","11","1","89.24","2","lbw","2","v England","Mohali","23 Jan 2013"
"88","4","15","9","1","0","44.44","2","caught","1","v England","Dharamsala","27 Jan 2013"
"89","65","96","81","8","1","80.24","1","caught","1","v South Africa","Cardiff","6 Jun 2013"
"90","52","78","56","7","0","92.85","1","caught","2","v West Indies","The Oval","11 Jun 2013"
"91","18","54","32","2","0","56.25","1","caught","2","v Pakistan","Birmingham","15 Jun 2013"
"92","33","77","50","4","0","66.00","1","bowled","2","v Sri Lanka","Cardiff","20 Jun 2013"
"93","9","18","14","1","0","64.28","1","bowled","1","v England","Birmingham","23 Jun 2013"
"94","60","129","89","4","1","67.41","1","caught","1","v West Indies","Kingston","30 Jun 2013"
"95","5","16","13","0","0","38.46","1","caught","2","v Sri Lanka","Kingston","2 Jul 2013"
"96","46","124","78","5","0","58.97","1","caught","1","v West Indies","Port of Spain","5 Jul 2013"
"97","48*","126","83","2","1","57.83","1","not out","1","v Sri Lanka","Port of Spain","9 Jul 2013"
"98","58","146","89","5","1","65.16","1","bowled","2","v Sri Lanka","Port of Spain","11 Jul 2013"
"99","20","57","40","2","0","50.00","1","caught","2","v Zimbabwe","Harare","24 Jul 2013"
"100","1","5","7","0","0","14.28","1","caught","1","v Zimbabwe","Harare","26 Jul 2013"
"101","14","27","21","2","0","66.66","1","caught","2","v Zimbabwe","Harare","28 Jul 2013"
"102","64*","123","90","5","1","71.11","2","not out","2","v Zimbabwe","Bulawayo","1 Aug 2013"
"103","42","62","47","6","0","89.36","2","caught","2","v Australia","Pune","13 Oct 2013"
"104","141*","195","123","17","4","114.63","1","not out","2","v Australia","Jaipur","16 Oct 2013"
"105","11","33","22","2","0","50.00","1","caught","1","v Australia","Mohali","19 Oct 2013"
"106","9*","19","13","1","0","69.23","1","not out","2","v Australia","Ranchi","23 Oct 2013"
"107","79","119","89","7","3","88.76","1","caught","2","v Australia","Nagpur","30 Oct 2013"
"108","209","222","158","12","16","132.27","1","caught","1","v Australia","Bengaluru","2 Nov 2013"
"109","72","105","81","8","1","88.88","1","caught","2","v West Indies","Kochi","21 Nov 2013"
"110","12","20","19","3","0","63.15","1","caught","1","v West Indies","Visakhapatnam","24 Nov 2013"
"111","4","19","14","0","0","28.57","1","caught","2","v West Indies","Kanpur","27 Nov 2013"
"112","18","69","43","2","0","41.86","1","run out","2","v South Africa","Johannesburg","5 Dec 2013"
"113","19","34","26","2","0","73.07","1","caught","2","v South Africa","Durban","8 Dec 2013"
"114","TDNB","-","-","-","-","-","-","-","-","v South Africa","Centurion","11 Dec 2013"
"115","3","24","23","0","0","13.04","1","caught","2","v New Zealand","Napier","19 Jan 2014"
